"resource.data.credentialInfo.<root_account>.access_key_2_last_rotated","resource.data.credentialInfo.Administrator.mfa_active","resource.turbot.id","resource.data.credentialInfo.Administrator.password_next_rotation","resource.data.credentialInfo.Administrator.access_key_1_last_used_date","resource.data.credentialInfo.<root_account>.access_key_1_last_used_region","resource.data.credentialInfo.Administrator.access_key_2_last_used_date","resource.data.credentialInfo.Administrator.arn","resource.data.credentialInfo.Administrator.cert_2_last_rotated","resource.data.credentialInfo.<root_account>.access_key_2_active","resource.data.credentialInfo.Administrator.password_last_changed","resource.data.credentialInfo.<root_account>.access_key_2_last_used_date","resource.data.credentialInfo.Administrator.access_key_1_last_used_service","resource.data.credentialInfo.Administrator.cert_1_active","resource.data.credentialInfo.<root_account>.access_key_2_last_used_service","resource.data.credentialInfo.Administrator.access_key_1_last_used_region","resource.data.credentialInfo.<root_account>.user","resource.data.credentialInfo.<root_account>.password_next_rotation","resource.data.credentialInfo.<root_account>.arn","resource.data.credentialInfo.<root_account>.access_key_1_last_used_date","resource.metadata.aws.partition","resource.data.credentialInfo.Administrator.access_key_2_active","resource.data.credentialInfo.Administrator.user","resource.data.credentialInfo.<root_account>.cert_2_last_rotated","turbot.id","default","resource.data.credentialInfo.<root_account>.user_creation_time","resource.data.credentialInfo.<root_account>.cert_1_active","resource.data.credentialInfo.Administrator.access_key_1_active","resource.data.credentialInfo.<root_account>.password_enabled","resource.data.credentialInfo.Administrator.user_creation_time","resource.data.credentialInfo.<root_account>.mfa_active","type.trunk.title","isCalculated","type.uri","resource.data.credentialInfo.<root_account>.password_last_changed","resource.trunk.title","resource.data.credentialInfo.Administrator.cert_1_last_rotated","resource.data.credentialInfo.<root_account>.cert_2_active","resource.data.credentialInfo.Administrator.access_key_2_last_used_region","resource.data.credentialInfo.<root_account>.password_last_used","resource.data.credentialInfo.<root_account>.access_key_1_active","resource.data.credentialInfo.<root_account>.access_key_2_last_used_region","resource.data.credentialInfo.Administrator.access_key_1_last_rotated","resource.data.credentialInfo.Administrator.password_last_used","resource.data.credentialInfo.<root_account>.access_key_1_last_used_service","resource.data.credentialInfo.Administrator.cert_2_active","precedence","resource.data.credentialInfo.<root_account>.access_key_1_last_rotated","resource.data.credentialInfo.<root_account>.cert_1_last_rotated","value","resource.data.credentialInfo.Administrator.access_key_2_last_used_service","resource.data.credentialInfo.Administrator.password_enabled","resource.metadata.aws.accountId","resource.data.credentialInfo.Administrator.access_key_2_last_rotated"
"9/9/2025 5:49:06 PM","false","364099686082852","11/8/2025 5:49:05 PM","N/A","us-gov-west-1","N/A","arn:aws-us-gov:iam::456467525016:user/Administrator","N/A","true","9/9/2025 5:49:05 PM","N/A","N/A","false","N/A","N/A","<root_account>","not_supported","arn:aws-us-gov:iam::456467525016:root","9/9/2025 5:49:00 PM","aws-us-gov","false","Administrator","N/A","364099689360242","True","9/4/2025 5:27:12 PM","false","false","not_supported","9/9/2025 5:49:05 PM","false","AWS > CIS v3.0 > 1 - Identity and Access Management > 1.13 - Ensure there is only one active access key available for any single IAM user","False","tmod:@turbot/aws-cisv3-0#/policy/types/r0113","not_supported","Turbot > VA > VAEC > AWS > vaec-tbt-dev > Credential Report","N/A","false","N/A","no_information","false","N/A","N/A","9/9/2025 5:50:05 PM","iam","false","should","9/4/2025 5:27:12 PM","N/A","Per AWS > CIS v3.0 > 1 - Identity and Access Management","N/A","true","456467525016","N/A"
"6/2/2025 10:16:01 PM","false","362167879235927","N/A","N/A","us-gov-west-1","N/A","arn:aws-us-gov:iam::398396364766:user/Administrator","N/A","true","N/A","N/A","N/A","false","N/A","N/A","<root_account>","not_supported","arn:aws-us-gov:iam::398396364766:root","6/2/2025 10:15:00 PM","aws-us-gov","false","Administrator","N/A","362167883720500","True","5/30/2025 10:05:43 AM","false","false","not_supported","6/2/2025 10:16:01 PM","false","AWS > CIS v3.0 > 1 - Identity and Access Management > 1.13 - Ensure there is only one active access key available for any single IAM user","False","tmod:@turbot/aws-cisv3-0#/policy/types/r0113","not_supported","Turbot > VA > VAEC > AWS > vaec-sdp-dso > Credential Report","N/A","false","N/A","no_information","false","N/A","N/A","6/2/2025 10:16:31 PM","iam","false","should","5/30/2025 10:05:43 AM","N/A","Per AWS > CIS v3.0 > 1 - Identity and Access Management","N/A","false","398396364766","N/A"
"6/2/2025 9:57:43 PM","false","362167405938252","N/A","N/A","us-gov-west-1","N/A","arn:aws-us-gov:iam::398395268214:user/Administrator","N/A","true","N/A","N/A","N/A","false","N/A","N/A","<root_account>","not_supported","arn:aws-us-gov:iam::398395268214:root","6/2/2025 9:57:00 PM","aws-us-gov","false","Administrator","N/A","362167408656489","True","5/30/2025 10:04:26 AM","false","false","not_supported","6/2/2025 9:57:43 PM","false","AWS > CIS v3.0 > 1 - Identity and Access Management > 1.13 - Ensure there is only one active access key available for any single IAM user","False","tmod:@turbot/aws-cisv3-0#/policy/types/r0113","not_supported","Turbot > VA > VAEC > AWS > vaec-sdp-veo > Credential Report","N/A","false","N/A","no_information","false","N/A","N/A","6/2/2025 9:58:09 PM","iam","false","should","5/30/2025 10:04:26 AM","N/A","Per AWS > CIS v3.0 > 1 - Identity and Access Management","N/A","false","398395268214","N/A"
"6/2/2025 9:51:27 PM","false","362166966736162","N/A","N/A","us-gov-west-1","N/A","arn:aws-us-gov:iam::398394497367:user/Administrator","N/A","true","N/A","N/A","N/A","false","N/A","N/A","<root_account>","not_supported","arn:aws-us-gov:iam::398394497367:root","6/2/2025 9:51:00 PM","aws-us-gov","false","Administrator","N/A","362166971207733","True","5/30/2025 10:03:32 AM","false","false","not_supported","6/2/2025 9:51:26 PM","false","AWS > CIS v3.0 > 1 - Identity and Access Management > 1.13 - Ensure there is only one active access key available for any single IAM user","False","tmod:@turbot/aws-cisv3-0#/policy/types/r0113","not_supported","Turbot > VA > VAEC > AWS > vaec-sdp-vba > Credential Report","N/A","false","N/A","no_information","false","N/A","N/A","6/2/2025 9:52:10 PM","iam","false","should","5/30/2025 10:03:32 AM","N/A","Per AWS > CIS v3.0 > 1 - Identity and Access Management","N/A","false","398394497367","N/A"
"8/4/2025 2:35:09 PM","false","361984930198032","10/3/2025 2:35:09 PM","N/A","us-gov-west-1","N/A","arn:aws-us-gov:iam::430719169979:user/Administrator","N/A","true","8/4/2025 2:35:09 PM","N/A","N/A","false","N/A","N/A","<root_account>","not_supported","arn:aws-us-gov:iam::430719169979:root","8/4/2025 2:35:00 PM","aws-us-gov","false","Administrator","N/A","361984932186305","True","7/25/2025 5:31:32 PM","false","false","not_supported","8/4/2025 2:35:08 PM","false","AWS > CIS v3.0 > 1 - Identity and Access Management > 1.13 - Ensure there is only one active access key available for any single IAM user","False","tmod:@turbot/aws-cisv3-0#/policy/types/r0113","not_supported","Turbot > VA > VAEC > AWS > vaec-rsi > Credential Report","N/A","false","N/A","no_information","false","N/A","N/A","8/4/2025 2:37:18 PM","iam","false","should","7/25/2025 5:31:32 PM","N/A","Per AWS > CIS v3.0 > 1 - Identity and Access Management","N/A","true","430719169979","N/A"
"7/14/2025 5:04:37 PM","false","359076309363419","N/A","N/A","us-gov-west-1","N/A","arn:aws-us-gov:iam::420555458885:user/Administrator","N/A","true","N/A","N/A","N/A","false","N/A","N/A","<root_account>","not_supported","arn:aws-us-gov:iam::420555458885:root","7/14/2025 5:04:00 PM","aws-us-gov","false","Administrator","N/A","359076311910883","True","7/9/2025 5:30:21 PM","false","false","not_supported","7/14/2025 5:04:37 PM","false","AWS > CIS v3.0 > 1 - Identity and Access Management > 1.13 - Ensure there is only one active access key available for any single IAM user","False","tmod:@turbot/aws-cisv3-0#/policy/types/r0113","not_supported","Turbot > VA > VAEC > AWS > vaec-adi > Credential Report","N/A","false","N/A","no_information","false","N/A","N/A","7/14/2025 5:05:22 PM","iam","false","should","7/9/2025 5:30:21 PM","N/A","Per AWS > CIS v3.0 > 1 - Identity and Access Management","N/A","false","420555458885","N/A"
"6/30/2025 1:35:57 PM","false","358885793040624","N/A","N/A","us-gov-west-1","N/A","arn:aws-us-gov:iam::413594670095:user/Administrator","N/A","true","N/A","N/A","N/A","false","N/A","N/A","<root_account>","not_supported","arn:aws-us-gov:iam::413594670095:root","6/30/2025 1:35:00 PM","aws-us-gov","false","Administrator","N/A","358885794921561","True","6/25/2025 5:21:02 PM","false","false","not_supported","6/30/2025 1:35:56 PM","false","AWS > CIS v3.0 > 1 - Identity and Access Management > 1.13 - Ensure there is only one active access key available for any single IAM user","False","tmod:@turbot/aws-cisv3-0#/policy/types/r0113","not_supported","Turbot > VA > VAEC > AWS > vaec-dtet > Credential Report","N/A","false","N/A","no_information","false","N/A","N/A","6/30/2025 1:38:00 PM","iam","false","should","6/25/2025 5:21:02 PM","N/A","Per AWS > CIS v3.0 > 1 - Identity and Access Management","N/A","false","413594670095","N/A"
"6/2/2025 9:46:23 PM","false","355346269913416","N/A","N/A","us-gov-west-1","N/A","arn:aws-us-gov:iam::398386608480:user/Administrator","N/A","true","N/A","N/A","N/A","false","N/A","N/A","<root_account>","not_supported","arn:aws-us-gov:iam::398386608480:root","6/2/2025 9:46:00 PM","aws-us-gov","false","Administrator","N/A","355346277369444","True","5/30/2025 10:02:23 AM","false","false","not_supported","6/2/2025 9:46:22 PM","false","AWS > CIS v3.0 > 1 - Identity and Access Management > 1.13 - Ensure there is only one active access key available for any single IAM user","False","tmod:@turbot/aws-cisv3-0#/policy/types/r0113","not_supported","Turbot > VA > VAEC > AWS > vaec-sdp-vha > Credential Report","N/A","false","N/A","no_information","false","N/A","N/A","6/2/2025 9:47:09 PM","iam","false","should","5/30/2025 10:02:23 AM","N/A","Per AWS > CIS v3.0 > 1 - Identity and Access Management","N/A","false","398386608480","N/A"
"5/22/2025 1:24:25 PM","false","354832218339252","N/A","N/A","us-gov-west-1","N/A","arn:aws-us-gov:iam::395275488614:user/Administrator","N/A","true","N/A","N/A","N/A","false","N/A","N/A","<root_account>","not_supported","arn:aws-us-gov:iam::395275488614:root","5/22/2025 1:24:00 PM","aws-us-gov","false","Administrator","N/A","354832222192137","True","5/20/2025 4:49:25 PM","false","false","not_supported","5/22/2025 1:24:24 PM","false","AWS > CIS v3.0 > 1 - Identity and Access Management > 1.13 - Ensure there is only one active access key available for any single IAM user","False","tmod:@turbot/aws-cisv3-0#/policy/types/r0113","not_supported","Turbot > VA > VAEC > AWS > vaec-lvsis > Credential Report","N/A","false","N/A","no_information","false","N/A","N/A","5/22/2025 1:25:22 PM","iam","false","should","5/20/2025 4:49:25 PM","N/A","Per AWS > CIS v3.0 > 1 - Identity and Access Management","N/A","false","395275488614","N/A"
"4/29/2025 11:17:19 PM","false","352717799312597","N/A","N/A","us-gov-west-1","N/A","arn:aws-us-gov:iam::385844302867:user/Administrator","N/A","true","N/A","N/A","N/A","false","N/A","N/A","<root_account>","not_supported","arn:aws-us-gov:iam::385844302867:root","4/29/2025 11:17:00 PM","aws-us-gov","false","Administrator","N/A","352717800733015","True","4/29/2025 5:00:34 PM","false","false","not_supported","4/29/2025 11:17:19 PM","false","AWS > CIS v3.0 > 1 - Identity and Access Management > 1.13 - Ensure there is only one active access key available for any single IAM user","False","tmod:@turbot/aws-cisv3-0#/policy/types/r0113","not_supported","Turbot > VA > VAEC > AWS > vaec-oris > Credential Report","N/A","false","N/A","no_information","false","N/A","N/A","4/29/2025 11:18:38 PM","iam","false","should","4/29/2025 5:00:34 PM","N/A","Per AWS > CIS v3.0 > 1 - Identity and Access Management","N/A","false","385844302867","N/A"
